Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,MonetaryRank
15,29,30735.6,4,5,5,455,Loyal Customers,89.0
2,26,24745.041,5,4,4,544,Loyal Customers,373.0
42,36,38015.78,3,5,5,355,Potential Loyalist.,7.0
28,22,22823.08,3,2,3,323,Potential Loyalist.,510.0
17,28,25175.66,4,5,4,454,Loyal Customers,346.0
52,23,23622.42,2,3,3,233,Potential Loyalist.,446.0
58,31,26353.94,2,5,4,254,Potential Loyalist.,274.0
11,19,17982.43,5,1,1,511,Hibernating,809.0
9,20,23208.07,5,2,3,523,Hibernating,484.0
274,14,12344.25,1,1,1,111,At Risk.,989.0
62,20,21361.2,2,2,3,223,At Risk.,599.0
36,31,27366.99,3,5,4,354,Potential Loyalist.,218.0
5,25,19988.83,5,4,2,542,Loyal Customers,682.0
44,28,23454.68,2,5,3,253,Potential Loyalist.,464.0
12,24,22598.11,4,3,3,433,Potential Loyalist.,522.0
50,24,20227.77,2,3,2,232,Potential Loyalist.,663.0
109,29,25702.49,1,5,4,154,Potential Loyalist.,311.0
7,18,12918.77,5,1,1,511,Hibernating,977.0
11,24,26996.291,5,3,4,534,Hibernating,240.0
108,17,21793.379,1,1,3,113,At Risk.,581.0
29,25,24676.8,3,4,4,344,Potential Loyalist.,380.0
10,17,14000.5,5,1,1,511,Hibernating,961.0
3,20,26715.21,5,2,4,524,Hibernating,254.0
68,28,24983.58,2,5,4,254,Potential Loyalist.,357.0
39,34,24403.17,3,5,4,354,Potential Loyalist.,398.0
20,20,19431.67,4,2,2,422,Potential Loyalist.,717.0
8,24,24102.59,5,3,3,533,Hibernating,417.0
427,13,16877.14,1,1,1,111,At Risk.,860.0
52,27,32895.08,2,4,5,245,Potential Loyalist.,39.0
54,23,18183.959,2,3,2,232,Potential Loyalist.,797.0
37,23,29488.33,3,3,5,335,Potential Loyalist.,132.0
76,23,22851.21,2,3,3,233,Potential Loyalist.,505.0
68,22,24291.75,2,2,3,223,At Risk.,405.0
96,25,24280.629,1,4,3,143,Potential Loyalist.,406.0
60,22,23895.11,2,2,3,223,At Risk.,427.0
59,30,44367.33,2,5,5,255,Potential Loyalist.,2.0
7,26,27033.89,5,4,4,544,Loyal Customers,235.0
46,17,19954.23,2,1,2,212,At Risk.,685.0
9,21,22078.86,5,2,3,523,Hibernating,560.0
23,18,16999.03,4,1,1,411,Potential Loyalist.,857.0
11,20,18359.62,5,2,2,522,Hibernating,785.0
53,26,22987.871,2,4,3,243,Potential Loyalist.,500.0
87,29,33278.66,1,5,5,155,Potential Loyalist.,34.0
151,23,24997.65,1,3,4,134,Potential Loyalist.,355.0
235,19,23211.21,1,1,3,113,At Risk.,483.0
32,20,23725.59,3,2,3,323,Potential Loyalist.,440.0
4,22,15914.19,5,2,1,521,Hibernating,897.0
40,28,25568.46,3,5,4,354,Potential Loyalist.,322.0
202,20,20184.81,1,2,2,122,At Risk.,666.0
59,28,25484.43,2,5,4,254,Potential Loyalist.,329.0
11,27,27808.66,5,4,4,544,Loyal Customers,202.0
116,25,29998.61,1,4,5,145,Potential Loyalist.,108.0
15,27,21700.691,4,4,3,443,Loyal Customers,587.0
48,24,24042.98,2,3,3,233,Potential Loyalist.,421.0
28,24,25212.18,3,3,4,334,Potential Loyalist.,343.0
76,22,24954.25,2,2,4,224,At Risk.,360.0
96,17,12053.75,1,1,1,111,At Risk.,991.0
94,27,24668.05,1,4,4,144,Potential Loyalist.,381.0
20,28,24125.46,4,5,3,453,Loyal Customers,414.0
88,29,28466.57,1,5,5,155,Potential Loyalist.,167.0
4,16,17192.4,5,1,1,511,Hibernating,849.0
46,26,24791.83,2,4,4,244,Potential Loyalist.,370.0
13,23,27334.83,4,3,4,434,Potential Loyalist.,219.0
52,25,31479.15,2,4,5,245,Potential Loyalist.,68.0
42,30,31484.36,3,5,5,355,Potential Loyalist.,67.0
14,19,16489.12,4,1,1,411,Potential Loyalist.,877.0
5,24,22662.22,5,3,3,533,Hibernating,519.0
134,18,16713.27,1,1,1,111,At Risk.,866.0
28,21,23594.01,3,2,3,323,Potential Loyalist.,453.0
248,24,28246.6,1,3,5,135,Potential Loyalist.,179.0
7,14,17520.05,5,1,1,511,Hibernating,832.0
30,24,25082.299,3,3,4,334,Potential Loyalist.,351.0
24,20,18639.33,4,2,2,422,Potential Loyalist.,771.0
13,17,19975.7,4,1,2,412,Potential Loyalist.,684.0
64,22,21075.49,2,2,2,222,At Risk.,621.0
77,27,27790.88,2,4,4,244,Potential Loyalist.,203.0
57,20,19818.31,2,2,2,222,At Risk.,698.0
27,20,23023.15,3,2,3,323,Potential Loyalist.,497.0
13,37,35846.25,4,5,5,455,Loyal Customers,18.0
2,20,15361.02,5,2,1,521,Hibernating,921.0
40,22,24450.46,3,2,4,324,Potential Loyalist.,397.0
27,27,22419.6,3,4,3,343,Potential Loyalist.,538.0
9,20,20179.879,5,2,2,522,Hibernating,668.0
7,25,24174.97,5,4,3,543,Loyal Customers,409.0
45,22,21259.74,2,2,2,222,At Risk.,605.0
25,30,33199.47,3,5,5,355,Potential Loyalist.,36.0
19,27,31260.4,4,4,5,445,Loyal Customers,78.0
6,23,19145.15,5,3,2,532,Hibernating,738.0
69,16,15543.01,2,1,1,211,At Risk.,915.0
41,18,19895.95,3,1,2,312,Potential Loyalist.,690.0
60,22,20021.5,2,2,2,222,At Risk.,679.0
163,16,19702.72,1,1,2,112,At Risk.,701.0
50,22,23612.49,2,2,3,223,At Risk.,450.0
94,19,15812.0,1,1,1,111,At Risk.,904.0
12,16,14672.46,4,1,1,411,Potential Loyalist.,940.0
144,29,30538.07,1,5,5,155,Potential Loyalist.,92.0
230,22,23517.22,1,2,3,123,At Risk.,457.0
3,29,30455.41,5,5,5,555,Champions,95.0
18,22,21276.72,4,2,2,422,Potential Loyalist.,603.0
26,21,22792.879,3,2,3,323,Potential Loyalist.,513.0
103,23,20804.21,1,3,2,132,Potential Loyalist.,634.0
8,23,17731.35,5,3,1,531,Hibernating,823.0
19,18,15729.6,4,1,1,411,Potential Loyalist.,907.0
120,23,23728.62,1,3,3,133,Potential Loyalist.,439.0
2,23,24865.74,5,3,4,534,Hibernating,364.0
64,25,19595.85,2,4,2,242,Potential Loyalist.,704.0
37,26,28350.1,3,4,5,345,Potential Loyalist.,173.0
43,19,19920.72,2,1,2,212,At Risk.,689.0
33,26,23355.49,3,4,3,343,Potential Loyalist.,471.0
28,27,22445.21,3,4,3,343,Potential Loyalist.,537.0
19,24,28453.03,4,3,5,435,Potential Loyalist.,168.0
30,28,24996.27,3,5,4,354,Potential Loyalist.,356.0
2,24,25311.36,5,3,4,534,Hibernating,335.0
17,17,17384.76,4,1,1,411,Potential Loyalist.,838.0
2,23,19556.47,5,3,2,532,Hibernating,706.0
2,26,27265.041,5,4,4,544,Loyal Customers,223.0
14,27,23548.72,4,4,3,443,Loyal Customers,455.0
63,21,21528.53,2,2,3,223,At Risk.,591.0
22,23,22820.48,4,3,3,433,Potential Loyalist.,511.0
23,17,14673.51,4,1,1,411,Potential Loyalist.,939.0
29,24,28613.32,3,3,5,335,Potential Loyalist.,162.0
1,24,16789.791,5,3,1,531,Hibernating,863.0
144,19,19349.46,1,1,2,112,At Risk.,723.0
29,24,21105.84,3,3,2,332,Potential Loyalist.,618.0
22,18,17156.22,4,1,1,411,Potential Loyalist.,853.0
76,30,24352.04,2,5,3,253,Potential Loyalist.,401.0
19,23,22498.58,4,3,3,433,Potential Loyalist.,533.0
24,23,21378.57,4,3,3,433,Potential Loyalist.,596.0
109,20,15887.32,1,2,1,121,At Risk.,901.0
60,13,12536.37,2,1,1,211,At Risk.,986.0
92,12,16138.391,1,1,1,111,At Risk.,887.0
42,23,22397.9,3,3,3,333,Potential Loyalist.,539.0
37,22,23266.59,3,2,3,323,Potential Loyalist.,478.0
402,20,21884.45,1,2,3,123,At Risk.,568.0
65,21,18714.42,2,2,2,222,At Risk.,763.0
5,23,22279.89,5,3,3,533,Hibernating,545.0
2,28,24531.18,5,5,4,554,Loyal Customers,392.0
5,22,23820.03,5,2,3,523,Hibernating,433.0
11,28,28177.51,5,5,5,555,Champions,182.0
1,17,13111.06,5,1,1,511,Hibernating,975.0
69,23,21038.27,2,3,2,232,Potential Loyalist.,623.0
119,32,31208.46,1,5,5,155,Potential Loyalist.,80.0
41,29,32881.78,3,5,5,355,Potential Loyalist.,40.0
51,25,19407.46,2,4,2,242,Potential Loyalist.,720.0
35,18,21559.69,3,1,3,313,Potential Loyalist.,590.0
21,22,20337.14,4,2,2,422,Potential Loyalist.,655.0
45,30,33635.492,2,5,5,255,Potential Loyalist.,31.0
38,16,12896.12,3,1,1,311,Potential Loyalist.,978.0
134,14,16212.51,1,1,1,111,At Risk.,883.0
9,16,16533.53,5,1,1,511,Hibernating,875.0
165,24,21189.38,1,3,2,132,Potential Loyalist.,611.0
117,28,28290.129,1,5,5,155,Potential Loyalist.,177.0
17,20,21236.11,4,2,2,422,Potential Loyalist.,608.0
76,25,22541.4,2,4,3,243,Potential Loyalist.,528.0
28,18,15593.1,3,1,1,311,Potential Loyalist.,913.0
6,22,20283.27,5,2,2,522,Hibernating,660.0
7,22,16194.66,5,2,1,521,Hibernating,884.0
5,28,31576.39,5,5,5,555,Champions,66.0
16,30,30800.47,4,5,5,455,Loyal Customers,88.0
16,22,18866.871,4,2,2,422,Potential Loyalist.,754.0
76,24,29768.69,2,3,5,235,Potential Loyalist.,115.0
47,16,16537.71,2,1,1,211,At Risk.,874.0
49,23,20622.71,2,3,2,232,Potential Loyalist.,641.0
143,20,19509.19,1,2,2,122,At Risk.,712.0
149,18,16082.87,1,1,1,111,At Risk.,888.0
33,21,23559.63,3,2,3,323,Potential Loyalist.,454.0
8,28,28951.6,5,5,5,555,Champions,151.0
142,24,22796.35,1,3,3,133,Potential Loyalist.,512.0
24,19,16071.88,4,1,1,411,Potential Loyalist.,891.0
12,30,26997.56,4,5,4,454,Loyal Customers,239.0
10,13,12004.05,5,1,1,511,Hibernating,992.0
375,25,21739.28,1,4,3,143,Potential Loyalist.,584.0
3,25,23233.06,5,4,3,543,Loyal Customers,480.0
55,31,32054.27,2,5,5,255,Potential Loyalist.,55.0
26,29,33119.41,3,5,5,355,Potential Loyalist.,37.0
10,25,21513.15,5,4,3,543,Loyal Customers,592.0
157,21,18382.13,1,2,2,122,At Risk.,784.0
102,29,26380.56,1,5,4,154,Potential Loyalist.,272.0
24,19,18189.23,4,1,2,412,Potential Loyalist.,796.0
17,20,18645.46,4,2,2,422,Potential Loyalist.,770.0
4,20,18436.4,5,2,2,522,Hibernating,778.0
66,27,23431.77,2,4,3,243,Potential Loyalist.,465.0
18,28,31941.74,4,5,5,455,Loyal Customers,56.0
74,28,24166.191,2,5,3,253,Potential Loyalist.,410.0
24,23,20372.5,4,3,2,432,Potential Loyalist.,654.0
53,30,31340.24,2,5,5,255,Potential Loyalist.,74.0
1,22,22575.08,5,2,3,523,Hibernating,523.0
1,18,15678.99,5,1,1,511,Hibernating,910.0
93,22,17384.0,1,2,1,121,At Risk.,839.0
42,21,15592.0,3,2,1,321,Potential Loyalist.,914.0
49,19,14124.56,2,1,1,211,At Risk.,957.0
195,22,18803.96,1,2,2,122,At Risk.,758.0
213,17,16455.95,1,1,1,111,At Risk.,879.0
50,14,15743.57,2,1,1,211,At Risk.,906.0
36,29,27169.03,3,5,4,354,Potential Loyalist.,228.0
37,16,14649.88,3,1,1,311,Potential Loyalist.,942.0
111,34,39763.52,1,5,5,155,Potential Loyalist.,6.0
15,16,14824.689,4,1,1,411,Potential Loyalist.,937.0
6,19,21166.77,5,1,2,512,Hibernating,612.0
78,20,21250.83,1,2,2,122,At Risk.,606.0
78,29,28631.71,1,5,5,155,Potential Loyalist.,161.0
74,25,31814.14,2,4,5,245,Potential Loyalist.,61.0
9,26,24491.39,5,4,4,544,Loyal Customers,394.0
55,27,23609.4,2,4,3,243,Potential Loyalist.,451.0
26,27,23396.93,3,4,3,343,Potential Loyalist.,469.0
22,17,17161.31,4,1,1,411,Potential Loyalist.,852.0
49,22,19884.08,2,2,2,222,At Risk.,691.0
8,21,22836.18,5,2,3,523,Hibernating,507.0
22,23,29468.39,4,3,5,435,Potential Loyalist.,134.0
29,29,24484.941,3,5,4,354,Potential Loyalist.,395.0
196,19,18089.59,1,1,1,111,At Risk.,807.0
62,22,17468.92,2,2,1,221,At Risk.,834.0
50,22,23117.41,2,2,3,223,At Risk.,492.0
70,19,17971.02,2,1,1,211,At Risk.,810.0
221,21,22525.14,1,2,3,123,At Risk.,532.0
43,18,29243.81,2,1,5,215,At Risk.,142.0
110,15,17465.64,1,1,1,111,At Risk.,835.0
19,24,24359.379,4,3,4,434,Potential Loyalist.,400.0
22,22,21159.379,4,2,2,422,Potential Loyalist.,614.0
22,22,22082.65,4,2,3,423,Potential Loyalist.,559.0
34,27,24610.36,3,4,4,344,Potential Loyalist.,388.0
37,30,40035.48,3,5,5,355,Potential Loyalist.,5.0
46,30,31834.299,2,5,5,255,Potential Loyalist.,60.0
29,15,15353.75,3,1,1,311,Potential Loyalist.,923.0
21,27,23599.959,4,4,3,443,Loyal Customers,452.0
5,17,19200.629,5,1,2,512,Hibernating,731.0
17,29,21017.69,4,5,2,452,Loyal Customers,626.0
101,21,24844.72,1,2,4,124,At Risk.,366.0
55,21,23938.16,2,2,3,223,At Risk.,423.0
12,23,25490.209,4,3,4,434,Potential Loyalist.,328.0
60,18,20825.95,2,1,2,212,At Risk.,632.0
22,22,22626.21,4,2,3,423,Potential Loyalist.,521.0
18,22,19681.27,4,2,2,422,Potential Loyalist.,702.0
15,19,20574.709,4,1,2,412,Potential Loyalist.,642.0
11,23,21982.81,5,3,3,533,Hibernating,563.0
13,31,25599.91,4,5,4,454,Loyal Customers,320.0
77,19,19527.1,2,1,2,212,At Risk.,709.0
49,17,13125.9,2,1,1,211,At Risk.,973.0
107,23,27701.45,1,3,4,134,Potential Loyalist.,207.0
12,16,13656.35,4,1,1,411,Potential Loyalist.,965.0
70,24,21794.459,2,3,3,233,Potential Loyalist.,580.0
4,31,30340.3,5,5,5,555,Champions,100.0
4,26,25772.54,5,4,4,544,Loyal Customers,305.0
1,21,23920.64,5,2,3,523,Hibernating,425.0
3,23,28344.0,5,3,5,535,Hibernating,175.0
4,35,35168.68,5,5,5,555,Champions,24.0
7,22,23759.26,5,2,3,523,Hibernating,436.0
49,27,27985.49,2,4,5,245,Potential Loyalist.,195.0
16,19,12865.45,4,1,1,411,Potential Loyalist.,980.0
2,24,27372.26,5,3,4,534,Hibernating,217.0
12,20,21723.2,4,2,3,423,Potential Loyalist.,586.0
8,22,21731.94,5,2,3,523,Hibernating,585.0
115,26,26903.26,1,4,4,144,Potential Loyalist.,243.0
16,18,18860.99,4,1,2,412,Potential Loyalist.,756.0
36,6,5052.69,3,1,1,311,Potential Loyalist.,1000.0
69,20,21032.57,2,2,2,222,At Risk.,624.0
77,21,20494.81,2,2,2,222,At Risk.,647.0
83,29,28783.09,1,5,5,155,Potential Loyalist.,157.0
36,26,25890.209,3,4,4,344,Potential Loyalist.,301.0
35,30,30211.98,3,5,5,355,Potential Loyalist.,103.0
1,27,26650.39,5,4,4,544,Loyal Customers,258.0
134,22,20743.1,1,2,2,122,At Risk.,636.0
105,18,18145.49,1,1,1,111,At Risk.,801.0
305,23,20721.98,1,3,2,132,Potential Loyalist.,637.0
3,20,19495.041,5,2,2,522,Hibernating,713.0
41,15,12293.189,3,1,1,311,Potential Loyalist.,990.0
71,23,17101.42,2,3,1,231,Potential Loyalist.,855.0
10,26,29405.57,5,4,5,545,Loyal Customers,136.0
13,33,28176.99,4,5,5,455,Loyal Customers,183.0
33,27,23672.84,3,4,3,343,Potential Loyalist.,442.0
3,21,14006.23,5,2,1,521,Hibernating,959.0
15,25,26244.16,4,4,4,444,Loyal Customers,281.0
4,28,23626.81,5,5,3,553,Loyal Customers,444.0
34,21,20786.26,3,2,2,322,Potential Loyalist.,635.0
6,27,29668.14,5,4,5,545,Loyal Customers,120.0
104,19,15889.87,1,1,1,111,At Risk.,900.0
137,15,10536.13,1,1,1,111,At Risk.,997.0
10,28,35848.37,5,5,5,555,Champions,17.0
20,19,21106.39,4,1,2,412,Potential Loyalist.,617.0
11,21,25437.19,5,2,4,524,Hibernating,331.0
54,28,31264.049,2,5,5,255,Potential Loyalist.,77.0
40,12,16036.83,3,1,1,311,Potential Loyalist.,892.0
4,26,25630.57,5,4,4,544,Loyal Customers,319.0
19,30,29783.06,4,5,5,455,Loyal Customers,114.0
5,27,23852.67,5,4,3,543,Loyal Customers,431.0
213,18,18263.42,1,1,2,112,At Risk.,791.0
152,24,25740.25,1,3,4,134,Potential Loyalist.,306.0
34,23,19526.58,3,3,2,332,Potential Loyalist.,710.0
140,23,22951.77,1,3,3,133,Potential Loyalist.,501.0
14,24,23822.0,4,3,3,433,Potential Loyalist.,432.0
90,12,14202.53,1,1,1,111,At Risk.,956.0
28,27,25673.55,3,4,4,344,Potential Loyalist.,314.0
77,24,30431.89,2,3,5,235,Potential Loyalist.,96.0
13,21,17705.64,4,2,1,421,Potential Loyalist.,824.0
1,27,25229.08,5,4,4,544,Loyal Customers,341.0
67,26,19415.59,2,4,2,242,Potential Loyalist.,718.0
50,26,26455.82,2,4,4,244,Potential Loyalist.,269.0
47,31,29948.85,2,5,5,255,Potential Loyalist.,111.0
32,22,25221.36,3,2,4,324,Potential Loyalist.,342.0
18,23,22206.46,4,3,3,433,Potential Loyalist.,550.0
54,27,24696.28,2,4,4,244,Potential Loyalist.,376.0
4,33,41050.76,5,5,5,555,Champions,4.0
32,27,26496.19,3,4,4,344,Potential Loyalist.,267.0
79,22,26091.74,1,2,4,124,At Risk.,293.0
39,26,26214.1,3,4,4,344,Potential Loyalist.,284.0
36,28,24476.45,3,5,4,354,Potential Loyalist.,396.0
15,24,20433.5,4,3,2,432,Potential Loyalist.,650.0
46,29,31020.65,2,5,5,255,Potential Loyalist.,84.0
79,17,22564.98,1,1,3,113,At Risk.,524.0
1,19,17439.24,5,1,1,511,Hibernating,836.0
7,18,19512.46,5,1,2,512,Hibernating,711.0
12,22,17571.94,4,2,1,421,Potential Loyalist.,831.0
12,29,27403.98,4,5,4,454,Loyal Customers,214.0
59,25,30930.19,2,4,5,245,Potential Loyalist.,87.0
26,29,27519.93,3,5,4,354,Potential Loyalist.,212.0
71,23,18209.09,2,3,2,232,Potential Loyalist.,794.0
15,20,18253.629,4,2,2,422,Potential Loyalist.,792.0
109,27,28794.09,1,4,5,145,Potential Loyalist.,156.0
91,20,21112.041,1,2,2,122,At Risk.,616.0
76,23,21193.38,2,3,2,232,Potential Loyalist.,610.0
1,21,21806.47,5,2,3,523,Hibernating,575.0
24,22,21956.209,4,2,3,423,Potential Loyalist.,564.0
7,29,30935.2,5,5,5,555,Champions,86.0
403,18,17864.549,1,1,1,111,At Risk.,814.0
32,19,22146.55,3,1,3,313,Potential Loyalist.,557.0
38,19,16643.15,3,1,1,311,Potential Loyalist.,871.0
4,15,17885.86,5,1,1,511,Hibernating,812.0
20,23,21800.81,4,3,3,433,Potential Loyalist.,578.0
53,27,31343.62,2,4,5,245,Potential Loyalist.,73.0
12,20,16082.79,4,2,1,421,Potential Loyalist.,889.0
36,22,27274.81,3,2,4,324,Potential Loyalist.,222.0
4,21,25299.11,5,2,4,524,Hibernating,336.0
56,15,15923.74,2,1,1,211,At Risk.,896.0
2,22,23879.43,5,2,3,523,Hibernating,429.0
1,18,15454.71,5,1,1,511,Hibernating,918.0
23,17,14250.39,4,1,1,411,Potential Loyalist.,955.0
77,26,23363.35,2,4,3,243,Potential Loyalist.,470.0
41,16,18133.48,3,1,1,311,Potential Loyalist.,802.0
99,27,20536.39,1,4,2,142,Potential Loyalist.,644.0
14,22,21941.29,4,2,3,423,Potential Loyalist.,565.0
87,16,22271.44,1,1,3,113,At Risk.,546.0
20,26,27770.24,4,4,4,444,Loyal Customers,205.0
150,21,20549.48,1,2,2,122,At Risk.,643.0
270,21,22551.33,1,2,3,123,At Risk.,527.0
203,17,28195.23,1,1,5,115,At Risk.,181.0
20,22,23497.05,4,2,3,423,Potential Loyalist.,460.0
89,15,14003.311,1,1,1,111,At Risk.,960.0
17,24,22563.53,4,3,3,433,Potential Loyalist.,525.0
40,19,16619.39,3,1,1,311,Potential Loyalist.,872.0
97,15,13214.18,1,1,1,111,At Risk.,971.0
47,22,25054.129,2,2,4,224,At Risk.,352.0
146,15,13115.82,1,1,1,111,At Risk.,974.0
25,19,19921.81,3,1,2,312,Potential Loyalist.,688.0
21,24,23479.19,4,3,3,433,Potential Loyalist.,461.0
64,26,27033.03,2,4,4,244,Potential Loyalist.,236.0
9,22,21030.28,5,2,2,522,Hibernating,625.0
46,36,36714.39,2,5,5,255,Potential Loyalist.,14.0
7,22,17777.44,5,2,1,521,Hibernating,818.0
7,30,30481.37,5,5,5,555,Champions,93.0
12,24,26357.44,4,3,4,434,Potential Loyalist.,273.0
53,17,22525.16,2,1,3,213,At Risk.,531.0
3,21,19923.1,5,2,2,522,Hibernating,687.0
42,19,15354.51,3,1,1,311,Potential Loyalist.,922.0
10,21,23994.36,5,2,3,523,Hibernating,422.0
149,27,19030.18,1,4,2,142,Potential Loyalist.,745.0
97,24,35835.93,1,3,5,135,Potential Loyalist.,19.0
43,24,25661.36,2,3,4,234,Potential Loyalist.,315.0
2,25,22698.11,5,4,3,543,Loyal Customers,517.0
46,19,12559.82,2,1,1,211,At Risk.,984.0
110,18,19339.18,1,1,2,112,At Risk.,724.0
368,20,16561.88,1,2,1,121,At Risk.,873.0
59,25,22163.36,2,4,3,243,Potential Loyalist.,555.0
31,21,20806.64,3,2,2,322,Potential Loyalist.,633.0
27,23,22324.81,3,3,3,333,Potential Loyalist.,542.0
15,23,22204.8,4,3,3,433,Potential Loyalist.,552.0
115,16,15421.67,1,1,1,111,At Risk.,920.0
26,38,33390.418,3,5,5,355,Potential Loyalist.,33.0
26,24,26406.03,3,3,4,334,Potential Loyalist.,271.0
3,12,14743.76,5,1,1,511,Hibernating,938.0
18,29,32764.66,4,5,5,455,Loyal Customers,43.0
21,24,27415.041,4,3,4,434,Potential Loyalist.,213.0
158,20,22478.69,1,2,3,123,At Risk.,535.0
20,16,16668.03,4,1,1,411,Potential Loyalist.,869.0
12,21,20033.5,4,2,2,422,Potential Loyalist.,677.0
72,23,26617.02,2,3,4,234,Potential Loyalist.,260.0
25,15,14256.91,3,1,1,311,Potential Loyalist.,953.0
100,26,29502.27,1,4,5,145,Potential Loyalist.,130.0
31,27,26850.95,3,4,4,344,Potential Loyalist.,250.0
57,21,20022.62,2,2,2,222,At Risk.,678.0
15,30,24306.49,4,5,3,453,Loyal Customers,404.0
10,21,23217.07,5,2,3,523,Hibernating,482.0
105,22,21494.56,1,2,3,123,At Risk.,594.0
130,21,18119.4,1,2,1,121,At Risk.,805.0
17,21,17401.79,4,2,1,421,Potential Loyalist.,837.0
48,23,21041.14,2,3,2,232,Potential Loyalist.,622.0
7,22,24694.72,5,2,4,524,Hibernating,377.0
15,27,30129.99,4,4,5,445,Loyal Customers,106.0
13,23,22676.86,4,3,3,433,Potential Loyalist.,518.0
38,28,21159.68,3,5,2,352,Potential Loyalist.,613.0
1,26,28196.94,5,4,5,545,Loyal Customers,180.0
49,30,26126.709,2,5,4,254,Potential Loyalist.,291.0
7,29,36661.47,5,5,5,555,Champions,15.0
26,23,22304.11,3,3,3,333,Potential Loyalist.,544.0
1,27,27597.7,5,4,4,544,Loyal Customers,209.0
77,35,35802.26,2,5,5,255,Potential Loyalist.,20.0
32,23,28125.3,3,3,5,335,Potential Loyalist.,185.0
51,27,26680.209,2,4,4,244,Potential Loyalist.,257.0
21,25,25680.32,4,4,4,444,Loyal Customers,312.0
36,25,28496.12,3,4,5,345,Potential Loyalist.,165.0
82,21,22064.54,1,2,3,123,At Risk.,561.0
13,15,17224.81,4,1,1,411,Potential Loyalist.,847.0
12,30,29984.92,4,5,5,455,Loyal Customers,109.0
180,25,20054.98,1,4,2,142,Potential Loyalist.,673.0
42,15,10537.46,3,1,1,311,Potential Loyalist.,996.0
56,19,19827.05,2,1,2,212,At Risk.,697.0
75,22,26338.17,2,2,4,224,At Risk.,277.0
23,16,13832.57,4,1,1,411,Potential Loyalist.,962.0
2,28,29606.61,5,5,5,555,Champions,123.0
20,27,28337.43,4,4,5,445,Loyal Customers,176.0
99,17,13560.69,1,1,1,111,At Risk.,967.0
11,25,17686.57,5,4,1,541,Loyal Customers,826.0
9,30,31227.15,5,5,5,555,Champions,79.0
120,30,31665.44,1,5,5,155,Potential Loyalist.,64.0
62,20,25784.1,2,2,4,224,At Risk.,304.0
23,15,17193.22,4,1,1,411,Potential Loyalist.,848.0
15,15,15691.76,4,1,1,411,Potential Loyalist.,909.0
133,24,23355.42,1,3,3,133,Potential Loyalist.,472.0
30,25,36752.84,3,4,5,345,Potential Loyalist.,13.0
34,25,22768.65,3,4,3,343,Potential Loyalist.,514.0
524,23,19849.49,1,3,2,132,Potential Loyalist.,693.0
4,27,27108.32,5,4,4,544,Loyal Customers,232.0
184,20,19197.04,1,2,2,122,At Risk.,732.0
17,18,13389.13,4,1,1,411,Potential Loyalist.,970.0
42,23,19158.379,3,3,2,332,Potential Loyalist.,736.0
48,23,22205.51,2,3,3,233,Potential Loyalist.,551.0
27,17,17808.24,3,1,1,311,Potential Loyalist.,817.0
11,22,18957.459,5,2,2,522,Hibernating,752.0
97,22,27124.53,1,2,4,124,At Risk.,230.0
223,20,18126.92,1,2,1,121,At Risk.,804.0
15,22,20289.16,4,2,2,422,Potential Loyalist.,659.0
14,22,23520.31,4,2,3,423,Potential Loyalist.,456.0
2,26,24754.51,5,4,4,544,Loyal Customers,372.0
17,15,15907.141,4,1,1,411,Potential Loyalist.,899.0
56,15,12886.9795,2,1,1,211,At Risk.,979.0
6,27,26190.28,5,4,4,544,Loyal Customers,286.0
65,19,18680.82,2,1,2,212,At Risk.,766.0
39,18,17668.27,3,1,1,311,Potential Loyalist.,827.0
1,19,19132.51,5,1,2,512,Hibernating,739.0
16,23,21375.34,4,3,3,433,Potential Loyalist.,597.0
28,28,26685.96,3,5,4,354,Potential Loyalist.,256.0
22,29,29265.13,4,5,5,455,Loyal Customers,141.0
64,23,23250.69,2,3,3,233,Potential Loyalist.,479.0
25,29,27206.3,3,5,4,354,Potential Loyalist.,227.0
9,29,31764.98,5,5,5,555,Champions,62.0
109,13,13706.67,1,1,1,111,At Risk.,963.0
25,30,33656.34,3,5,5,355,Potential Loyalist.,30.0
4,28,28500.11,5,5,5,555,Champions,164.0
30,19,16020.529,3,1,1,311,Potential Loyalist.,893.0
42,19,23303.18,3,1,3,313,Potential Loyalist.,475.0
66,22,24971.54,2,2,4,224,At Risk.,359.0
11,29,28915.94,5,5,5,555,Champions,152.0
19,27,24698.24,4,4,4,444,Loyal Customers,375.0
59,26,16258.939,2,4,1,241,Potential Loyalist.,881.0
76,19,17689.95,2,1,1,211,At Risk.,825.0
71,18,19939.08,2,1,2,212,At Risk.,686.0
1,20,18430.21,5,2,2,522,Hibernating,779.0
21,32,32591.3,4,5,5,455,Loyal Customers,45.0
1,20,16315.07,5,2,1,521,Hibernating,880.0
28,18,20066.13,3,1,2,312,Potential Loyalist.,671.0
40,31,44784.992,3,5,5,355,Potential Loyalist.,1.0
20,34,31920.01,4,5,5,455,Loyal Customers,57.0
22,16,14499.779,4,1,1,411,Potential Loyalist.,947.0
22,20,15859.87,4,2,1,421,Potential Loyalist.,902.0
52,19,13705.96,2,1,1,211,At Risk.,964.0
12,15,17746.72,4,1,1,411,Potential Loyalist.,821.0
56,28,29570.54,2,5,5,255,Potential Loyalist.,125.0
17,27,23076.041,4,4,3,443,Loyal Customers,495.0
